id,lat,lng,station,source,aqi,pm25,pm10,co,no2,so2,rh,temperature,windSpeed,timestamp,severity,description
vehicle_006,28.627293,77.321795,Bus Terminal A,vehicle,332,139,265.1,5.72,99.7,50.9,23,35.3,3.5,2025-07-21T12:00:00.000Z,hazardous,Bus Terminal A - Major bus terminal with heavy traffic congestion
vehicle_007,28.643984,77.306297,Traffic Junction B,vehicle,245,106.7,139,2.87,103.9,29.3,32,34.5,4.2,2025-07-21T12:00:00.000Z,very_high,Traffic Junction B - Traffic junction with high vehicle density
vehicle_008,28.653835,77.327941,Highway Monitor C,vehicle,187,159,102.3,2.83,52.9,34.2,22,33.3,4.8,2025-07-21T12:00:00.000Z,high,Highway Monitor C - Highway monitoring point with diesel emissions
vehicle_009,28.640311,77.31886,Parking Complex D,vehicle,213,83.5,145.2,2.83,65.6,27,31,32.4,3.5,2025-07-21T12:00:00.000Z,very_high,Parking Complex D - Parking complex with vehicle idling
vehicle_010,28.647926,77.326581,Bus Terminal E,vehicle,269,224.7,305.9,7.02,80,30.5,26,32.4,2.9,2025-07-21T12:00:00.000Z,very_high,Bus Terminal E - Major bus terminal with heavy traffic congestion
vehicle_011,28.632492,77.299992,Traffic Junction F,vehicle,268,110,152.7,3.4,115.2,34.5,28,34.9,4.6,2025-07-21T12:00:00.000Z,very_high,Traffic Junction F - Traffic junction with high vehicle density
dust_012,28.639283,77.298179,Open Ground A,dust,174,149.1,308.9,0.87,43.9,9.4,36,33.5,5.5,2025-07-21T12:00:00.000Z,high,Open Ground A - Large unpaved area with loose soil
dust_013,28.631764,77.332845,Vacant Plot B,dust,189,122.2,197.9,1.04,33,8.3,28,32.4,5.4,2025-07-21T12:00:00.000Z,high,Vacant Plot B - Vacant plot with exposed soil and debris
dust_014,28.634682,77.31235,Quarry Site C,dust,209,112.5,438.8,1.02,25.6,5.7,29,35.8,3.7,2025-07-21T12:00:00.000Z,very_high,Quarry Site C - Quarry site with crushing operations
dust_015,28.647421,77.316557,Unpaved Area D,dust,192,116.6,199.2,1.04,33.2,11.7,33,32.5,2.9,2025-07-21T12:00:00.000Z,high,Unpaved Area D - Open area with construction debris
dust_016,28.639001,77.336353,Demolished Building Site E,dust,138,142.6,274.5,0.84,26.6,10.5,20,34.7,3.4,2025-07-21T12:00:00.000Z,moderate,Demolished Building Site E - Large unpaved area with loose soil
construction_001,28.639331,77.321066,Metro Construction A,construction,219,159,342.8,1.22,74.3,13.1,30,32,5.6,2025-07-21T13:00:00.000Z,very_high,Metro Construction A - Metro construction with heavy machinery
construction_002,28.637321,77.31774,Building Project B,construction,216,155.8,357.4,2.39,61.3,12.4,35,30,5.1,2025-07-21T13:00:00.000Z,very_high,Building Project B - Building project with dust and emissions
construction_003,28.646975,77.296802,Highway Expansion C,construction,86,98,213.6,1.29,33,12,30,32.9,4.4,2025-07-21T13:00:00.000Z,moderate,Highway Expansion C - Highway expansion with earthmoving equipment
construction_004,28.649373,77.318493,Active Construction D,construction,158,81.2,173.9,1.89,66.7,20.7,24,28.4,5,2025-07-21T13:00:00.000Z,high,Active Construction D - Active construction site with concrete mixing
construction_005,28.642822,77.301762,Industrial Building Site E,construction,147,177,213.8,1.46,81.2,19.7,24,29.9,4.6,2025-07-21T13:00:00.000Z,moderate,Industrial Building Site E - Metro construction with heavy machinery
vehicle_006,28.627293,77.321795,Bus Terminal A,vehicle,345,139.7,263.3,6.49,153.7,34.7,23,29.8,2.8,2025-07-21T13:00:00.000Z,hazardous,Bus Terminal A - Major bus terminal with heavy traffic congestion
vehicle_007,28.643984,77.306297,Traffic Junction B,vehicle,271,159.8,229,4.43,96.1,53.4,33,32.3,5.5,2025-07-21T13:00:00.000Z,very_high,Traffic Junction B - Traffic junction with high vehicle density
vehicle_008,28.653835,77.327941,Highway Monitor C,vehicle,199,84.1,240.9,4.81,84.8,35.3,41,29.7,5.6,2025-07-21T13:00:00.000Z,high,Highway Monitor C - Highway monitoring point with diesel emissions
vehicle_009,28.640311,77.31886,Parking Complex D,vehicle,332,185,260,8.1,159.2,43.1,33,30.5,4.8,2025-07-21T13:00:00.000Z,hazardous,Parking Complex D - Parking complex with vehicle idling
vehicle_010,28.647926,77.326581,Bus Terminal E,vehicle,295,116.6,182,5.14,118.6,35.5,39,32,5.6,2025-07-21T13:00:00.000Z,very_high,Bus Terminal E - Major bus terminal with heavy traffic congestion
vehicle_011,28.632492,77.299992,Traffic Junction F,vehicle,274,225.7,291,4.51,155.5,30.8,32,31.1,3,2025-07-21T13:00:00.000Z,very_high,Traffic Junction F - Traffic junction with high vehicle density
dust_012,28.639283,77.298179,Open Ground A,dust,153,96.3,217.5,0.86,27.1,9.5,36,31,4.4,2025-07-21T13:00:00.000Z,high,Open Ground A - Large unpaved area with loose soil
dust_013,28.631764,77.332845,Vacant Plot B,dust,147,108.3,248.9,0.99,26.2,8,41,31.1,4.4,2025-07-21T13:00:00.000Z,moderate,Vacant Plot B - Vacant plot with exposed soil and debris
dust_014,28.634682,77.31235,Quarry Site C,dust,181,130.6,235.2,1.57,35.8,15,35,29.3,3.5,2025-07-21T13:00:00.000Z,high,Quarry Site C - Quarry site with crushing operations
dust_015,28.647421,77.316557,Unpaved Area D,dust,198,190.9,240.4,1,43,12.8,32,31.5,4.2,2025-07-21T13:00:00.000Z,high,Unpaved Area D - Open area with construction debris
dust_016,28.639001,77.336353,Demolished Building Site E,dust,184,155.4,357.9,0.94,27.4,6,30,31.1,4.1,2025-07-21T13:00:00.000Z,high,Demolished Building Site E - Large unpaved area with loose soil
construction_001,28.639331,77.321066,Metro Construction A,construction,90,106.1,196.2,1.34,52,16.7,35,24.4,5.4,2025-07-21T14:00:00.000Z,moderate,Metro Construction A - Metro construction with heavy machinery
construction_002,28.637321,77.31774,Building Project B,construction,138,99.7,197.2,1.28,47.9,14.2,38,22.8,5.1,2025-07-21T14:00:00.000Z,moderate,Building Project B - Building project with dust and emissions
construction_003,28.646975,77.296802,Highway Expansion C,construction,198,100.8,354.1,1.55,71.6,18.2,47,20.4,3.2,2025-07-21T14:00:00.000Z,high,Highway Expansion C - Highway expansion with earthmoving equipment
construction_004,28.649373,77.318493,Active Construction D,construction,196,114.4,221.8,1.64,78.2,14.4,49,21.7,3.6,2025-07-21T14:00:00.000Z,high,Active Construction D - Active construction site with concrete mixing
construction_005,28.642822,77.301762,Industrial Building Site E,construction,133,174.5,286.7,1.61,80.1,20.6,48,25.3,4.7,2025-07-21T14:00:00.000Z,moderate,Industrial Building Site E - Metro construction with heavy machinery
vehicle_006,28.627293,77.321795,Bus Terminal A,vehicle,223,185.8,315,5.4,152.5,55.4,49,24.5,4.2,2025-07-21T14:00:00.000Z,very_high,Bus Terminal A - Major bus terminal with heavy traffic congestion
vehicle_007,28.643984,77.306297,Traffic Junction B,vehicle,351,136.9,298.5,6.81,129,48.4,32,20.9,3.2,2025-07-21T14:00:00.000Z,hazardous,Traffic Junction B - Traffic junction with high vehicle density
vehicle_008,28.653835,77.327941,Highway Monitor C,vehicle,186,219.2,313.5,7.7,127.4,52.2,33,22.2,5.2,2025-07-21T14:00:00.000Z,high,Highway Monitor C - Highway monitoring point with diesel emissions
vehicle_009,28.640311,77.31886,Parking Complex D,vehicle,133,162,178.3,3.53,59,31.9,44,20.4,3.2,2025-07-21T14:00:00.000Z,moderate,Parking Complex D - Parking complex with vehicle idling
vehicle_010,28.647926,77.326581,Bus Terminal E,vehicle,351,140.9,294.8,6.45,103.2,33.6,48,21,2.7,2025-07-21T14:00:00.000Z,hazardous,Bus Terminal E - Major bus terminal with heavy traffic congestion
vehicle_011,28.632492,77.299992,Traffic Junction F,vehicle,309,126.6,245.6,3.66,136.9,45.2,36,20.3,3.6,2025-07-21T14:00:00.000Z,hazardous,Traffic Junction F - Traffic junction with high vehicle density
dust_012,28.639283,77.298179,Open Ground A,dust,202,144.7,322.7,0.59,31.9,9.3,46,20.4,5.4,2025-07-21T14:00:00.000Z,very_high,Open Ground A - Large unpaved area with loose soil
dust_013,28.631764,77.332845,Vacant Plot B,dust,169,102,307.9,1.48,35.2,11.9,34,23.6,4.7,2025-07-21T14:00:00.000Z,high,Vacant Plot B - Vacant plot with exposed soil and debris
dust_014,28.634682,77.31235,Quarry Site C,dust,212,193.2,323,1.5,44,5.7,45,23.2,4,2025-07-21T14:00:00.000Z,very_high,Quarry Site C - Quarry site with crushing operations
dust_015,28.647421,77.316557,Unpaved Area D,dust,119,111,160.9,1.04,23.1,6,45,24.4,4.3,2025-07-21T14:00:00.000Z,moderate,Unpaved Area D - Open area with construction debris
dust_016,28.639001,77.336353,Demolished Building Site E,dust,171,110.7,268.7,1.23,41.1,5.5,46,20.5,3.8,2025-07-21T14:00:00.000Z,high,Demolished Building Site E - Large unpaved area with loose soil
construction_001,28.639331,77.321066,Metro Construction A,construction,142,110.3,264.9,1.86,83.3,9.8,39,21.4,3.3,2025-07-21T15:00:00.000Z,moderate,Metro Construction A - Metro construction with heavy machinery
construction_002,28.637321,77.31774,Building Project B,construction,158,117.6,295.2,1.59,40.4,13.4,49,21.8,5.5,2025-07-21T15:00:00.000Z,high,Building Project B - Building project with dust and emissions
construction_003,28.646975,77.296802,Highway Expansion C,construction,189,144.1,267.4,1.14,53.2,23.5,42,21.1,5,2025-07-21T15:00:00.000Z,high,Highway Expansion C - Highway expansion with earthmoving equipment
construction_004,28.649373,77.318493,Active Construction D,construction,190,88.3,339,2.48,63,7.7,37,21,3.7,2025-07-21T15:00:00.000Z,high,Active Construction D - Active construction site with concrete mixing
construction_005,28.642822,77.301762,Industrial Building Site E,construction,159,79,246.7,2.65,71.8,18.3,39,24.1,3.3,2025-07-21T15:00:00.000Z,high,Industrial Building Site E - Metro construction with heavy machinery
vehicle_006,28.627293,77.321795,Bus Terminal A,vehicle,232,107.4,237.2,7.18,127.3,38,48,22.4,4.7,2025-07-21T15:00:00.000Z,very_high,Bus Terminal A - Major bus terminal with heavy traffic congestion
vehicle_007,28.643984,77.306297,Traffic Junction B,vehicle,304,237.2,288.8,4.45,150.5,38.2,46,23.7,3.9,2025-07-21T15:00:00.000Z,hazardous,Traffic Junction B - Traffic junction with high vehicle density
vehicle_008,28.653835,77.327941,Highway Monitor C,vehicle,278,222.3,167.3,5.89,116.4,40.2,38,22.2,3,2025-07-21T15:00:00.000Z,very_high,Highway Monitor C - Highway monitoring point with diesel emissions
vehicle_009,28.640311,77.31886,Parking Complex D,vehicle,315,152.9,268.6,7.43,125.9,41.1,48,21.3,4.8,2025-07-21T15:00:00.000Z,hazardous,Parking Complex D - Parking complex with vehicle idling
vehicle_010,28.647926,77.326581,Bus Terminal E,vehicle,332,203.9,242.5,3.96,97.1,46.9,36,22.6,4.4,2025-07-21T15:00:00.000Z,hazardous,Bus Terminal E - Major bus terminal with heavy traffic congestion
vehicle_011,28.632492,77.299992,Traffic Junction F,vehicle,259,127.5,263.2,6.75,144.9,41.5,39,21,3.4,2025-07-21T15:00:00.000Z,very_high,Traffic Junction F - Traffic junction with high vehicle density
dust_012,28.639283,77.298179,Open Ground A,dust,185,168.8,346.8,1.29,21.7,7.1,44,23.1,5.7,2025-07-21T15:00:00.000Z,high,Open Ground A - Large unpaved area with loose soil
dust_013,28.631764,77.332845,Vacant Plot B,dust,191,190.2,373.6,1.4,36.9,8.1,50,21.3,4.5,2025-07-21T15:00:00.000Z,high,Vacant Plot B - Vacant plot with exposed soil and debris
dust_014,28.634682,77.31235,Quarry Site C,dust,146,139.5,199.3,0.95,39.4,13.8,38,23.6,5.6,2025-07-21T15:00:00.000Z,moderate,Quarry Site C - Quarry site with crushing operations
dust_015,28.647421,77.316557,Unpaved Area D,dust,190,150.3,335.4,1.23,25.1,10.2,32,23.2,4.1,2025-07-21T15:00:00.000Z,high,Unpaved Area D - Open area with construction debris
dust_016,28.639001,77.336353,Demolished Building Site E,dust,154,184.2,363.5,0.56,26,10.9,37,21.4,3.5,2025-07-21T15:00:00.000Z,high,Demolished Building Site E - Large unpaved area with loose soil
construction_001,28.639331,77.321066,Metro Construction A,construction,205,110.9,223.1,2.35,50.4,20.1,33,24.8,3.4,2025-07-21T16:00:00.000Z,very_high,Metro Construction A - Metro construction with heavy machinery
construction_002,28.637321,77.31774,Building Project B,construction,216,98.7,314.3,1.54,81,19.6,48,21.5,4.9,2025-07-21T16:00:00.000Z,very_high,Building Project B - Building project with dust and emissions
construction_003,28.646975,77.296802,Highway Expansion C,construction,144,164.5,319.5,2.01,59.9,9.5,48,23.6,5.3,2025-07-21T16:00:00.000Z,moderate,Highway Expansion C - Highway expansion with earthmoving equipment
construction_004,28.649373,77.318493,Active Construction D,construction,159,101.7,376.9,2.74,83.9,20.6,48,25.1,3.1,2025-07-21T16:00:00.000Z,high,Active Construction D - Active construction site with concrete mixing
construction_005,28.642822,77.301762,Industrial Building Site E,construction,192,115.4,289.4,1.66,61.5,18.6,36,21.1,4.2,2025-07-21T16:00:00.000Z,high,Industrial Building Site E - Metro construction with heavy machinery
vehicle_006,28.627293,77.321795,Bus Terminal A,vehicle,151,77.4,142,3.43,91.8,19.4,44,24,2.7,2025-07-21T16:00:00.000Z,high,Bus Terminal A - Major bus terminal with heavy traffic congestion
vehicle_007,28.643984,77.306297,Traffic Junction B,vehicle,149,84.4,133.7,3.57,86,26.1,35,21.9,4.5,2025-07-21T16:00:00.000Z,moderate,Traffic Junction B - Traffic junction with high vehicle density
vehicle_008,28.653835,77.327941,Highway Monitor C,vehicle,174,120.3,175.4,3.18,91.2,21.9,43,24.4,3.7,2025-07-21T16:00:00.000Z,high,Highway Monitor C - Highway monitoring point with diesel emissions
vehicle_009,28.640311,77.31886,Parking Complex D,vehicle,111,62.7,140.9,2.77,64.4,27.8,46,24.1,3.6,2025-07-21T16:00:00.000Z,moderate,Parking Complex D - Parking complex with vehicle idling
vehicle_010,28.647926,77.326581,Bus Terminal E,vehicle,141,55.3,94.9,1.6,38.7,16.8,41,21,4.1,2025-07-21T16:00:00.000Z,moderate,Bus Terminal E - Major bus terminal with heavy traffic congestion
vehicle_011,28.632492,77.299992,Traffic Junction F,vehicle,122,59.4,184,3.74,68.5,26.1,49,23.9,3.8,2025-07-21T16:00:00.000Z,moderate,Traffic Junction F - Traffic junction with high vehicle density
dust_012,28.639283,77.298179,Open Ground A,dust,97,109.7,184.1,0.62,24.4,3.6,41,22.2,3.8,2025-07-21T16:00:00.000Z,moderate,Open Ground A - Large unpaved area with loose soil
dust_013,28.631764,77.332845,Vacant Plot B,dust,192,149.3,227.2,0.6,23.5,15.2,46,24.4,2.8,2025-07-21T16:00:00.000Z,high,Vacant Plot B - Vacant plot with exposed soil and debris
dust_014,28.634682,77.31235,Quarry Site C,dust,145,107.6,231.4,0.57,37.4,12.1,31,21.1,4.6,2025-07-21T16:00:00.000Z,moderate,Quarry Site C - Quarry site with crushing operations
dust_015,28.647421,77.316557,Unpaved Area D,dust,201,156,218.8,0.6,33,6.1,31,20.8,3.5,2025-07-21T16:00:00.000Z,very_high,Unpaved Area D - Open area with construction debris
dust_016,28.639001,77.336353,Demolished Building Site E,dust,140,154.1,303.2,1.02,20.6,12.3,45,22.8,4.1,2025-07-21T16:00:00.000Z,moderate,Demolished Building Site E - Large unpaved area with loose soil
construction_001,28.639331,77.321066,Metro Construction A,construction,72,78.7,216.5,1.55,34.4,13.1,31,20.5,3.4,2025-07-21T17:00:00.000Z,moderate,Metro Construction A - Metro construction with heavy machinery
construction_002,28.637321,77.31774,Building Project B,construction,76,55.9,63.7,1,29.7,9.2,34,22.4,5.2,2025-07-21T17:00:00.000Z,moderate,Building Project B - Building project with dust and emissions
construction_003,28.646975,77.296802,Highway Expansion C,construction,92,64.3,212.5,1.68,31.1,9,33,20.8,4.4,2025-07-21T17:00:00.000Z,moderate,Highway Expansion C - Highway expansion with earthmoving equipment
construction_004,28.649373,77.318493,Active Construction D,construction,96,59.2,127.8,1.78,30.1,10.2,47,21.7,4.9,2025-07-21T17:00:00.000Z,moderate,Active Construction D - Active construction site with concrete mixing
construction_005,28.642822,77.301762,Industrial Building Site E,construction,86,64,213.5,1.32,23.6,12.2,47,20.4,4.8,2025-07-21T17:00:00.000Z,moderate,Industrial Building Site E - Metro construction with heavy machinery
vehicle_006,28.627293,77.321795,Bus Terminal A,vehicle,66,45.6,50.4,1.47,25.2,10,39,20.9,5.7,2025-07-21T17:00:00.000Z,moderate,Bus Terminal A - Major bus terminal with heavy traffic congestion
vehicle_007,28.643984,77.306297,Traffic Junction B,vehicle,119,45.2,103,2.03,44.4,16.9,47,22.2,5.2,2025-07-21T17:00:00.000Z,moderate,Traffic Junction B - Traffic junction with high vehicle density
vehicle_008,28.653835,77.327941,Highway Monitor C,vehicle,70,43.5,71.1,2.35,30.1,16.3,32,20.8,3.2,2025-07-21T17:00:00.000Z,moderate,Highway Monitor C - Highway monitoring point with diesel emissions
vehicle_009,28.640311,77.31886,Parking Complex D,vehicle,92,52.1,62.8,2.5,39.9,13,38,24.5,4.3,2025-07-21T17:00:00.000Z,moderate,Parking Complex D - Parking complex with vehicle idling
vehicle_010,28.647926,77.326581,Bus Terminal E,vehicle,44,37.6,75.8,1.35,20.6,11.4,40,22.1,4.9,2025-07-21T17:00:00.000Z,moderate,Bus Terminal E - Major bus terminal with heavy traffic congestion
vehicle_011,28.632492,77.299992,Traffic Junction F,vehicle,104,73.6,53,2.66,24.7,12.4,36,23.3,4,2025-07-21T17:00:00.000Z,moderate,Traffic Junction F - Traffic junction with high vehicle density
dust_012,28.639283,77.298179,Open Ground A,dust,115,119.4,160,0.7,24.2,4.8,45,23.7,3,2025-07-21T17:00:00.000Z,moderate,Open Ground A - Large unpaved area with loose soil
dust_013,28.631764,77.332845,Vacant Plot B,dust,75,77.9,128.6,0.46,11,5.3,49,24.7,4.4,2025-07-21T17:00:00.000Z,moderate,Vacant Plot B - Vacant plot with exposed soil and debris
dust_014,28.634682,77.31235,Quarry Site C,dust,140,81.3,232.8,0.94,20,6.9,42,23,4.7,2025-07-21T17:00:00.000Z,moderate,Quarry Site C - Quarry site with crushing operations
dust_015,28.647421,77.316557,Unpaved Area D,dust,83,113.7,188.1,0.83,17.7,4.7,43,24.2,5.2,2025-07-21T17:00:00.000Z,moderate,Unpaved Area D - Open area with construction debris
dust_016,28.639001,77.336353,Demolished Building Site E,dust,81,101.4,132.3,0.58,18.3,8.2,42,22.6,2.7,2025-07-21T17:00:00.000Z,moderate,Demolished Building Site E - Large unpaved area with loose soil
construction_001,28.639331,77.321066,Metro Construction A,construction,76,66.6,158.8,1.14,33.8,6.5,31,25.1,3,2025-07-21T18:00:00.000Z,moderate,Metro Construction A - Metro construction with heavy machinery
construction_002,28.637321,77.31774,Building Project B,construction,115,69.5,133.8,1.72,23.7,7.1,39,22.5,5,2025-07-21T18:00:00.000Z,moderate,Building Project B - Building project with dust and emissions
construction_003,28.646975,77.296802,Highway Expansion C,construction,99,52.4,184.4,1.28,49,6.8,40,25.3,4.5,2025-07-21T18:00:00.000Z,moderate,Highway Expansion C - Highway expansion with earthmoving equipment
construction_004,28.649373,77.318493,Active Construction D,construction,115,45.2,107,1.33,38.8,11.5,32,22.7,2.7,2025-07-21T18:00:00.000Z,moderate,Active Construction D - Active construction site with concrete mixing
construction_005,28.642822,77.301762,Industrial Building Site E,construction,97,77.9,116,0.68,38.5,11.9,48,25.1,4.5,2025-07-21T18:00:00.000Z,moderate,Industrial Building Site E - Metro construction with heavy machinery
vehicle_006,28.627293,77.321795,Bus Terminal A,vehicle,112,48.4,71.9,2.13,50.6,13.8,39,20.6,3,2025-07-21T18:00:00.000Z,moderate,Bus Terminal A - Major bus terminal with heavy traffic congestion
vehicle_007,28.643984,77.306297,Traffic Junction B,vehicle,57,53.9,32.1,1.08,29.6,10.8,47,22.1,4.3,2025-07-21T18:00:00.000Z,moderate,Traffic Junction B - Traffic junction with high vehicle density
vehicle_008,28.653835,77.327941,Highway Monitor C,vehicle,84,39.6,60.9,1.86,31.6,7.7,50,21.8,5.7,2025-07-21T18:00:00.000Z,moderate,Highway Monitor C - Highway monitoring point with diesel emissions
vehicle_009,28.640311,77.31886,Parking Complex D,vehicle,74,71,65.5,1.62,30.3,11.7,49,21.7,5.2,2025-07-21T18:00:00.000Z,moderate,Parking Complex D - Parking complex with vehicle idling
vehicle_010,28.647926,77.326581,Bus Terminal E,vehicle,44,29.8,42.3,1.83,24.8,7.3,37,24.2,5.4,2025-07-21T18:00:00.000Z,moderate,Bus Terminal E - Major bus terminal with heavy traffic congestion
vehicle_011,28.632492,77.299992,Traffic Junction F,vehicle,95,63.8,108.4,2.3,23.5,16,47,20.8,5.1,2025-07-21T18:00:00.000Z,moderate,Traffic Junction F - Traffic junction with high vehicle density
dust_012,28.639283,77.298179,Open Ground A,dust,89,63.7,197.4,0.66,18,3.1,32,20.7,5,2025-07-21T18:00:00.000Z,moderate,Open Ground A - Large unpaved area with loose soil
dust_013,28.631764,77.332845,Vacant Plot B,dust,101,123,233.6,0.52,26.2,7,31,22.4,3.8,2025-07-21T18:00:00.000Z,moderate,Vacant Plot B - Vacant plot with exposed soil and debris
dust_014,28.634682,77.31235,Quarry Site C,dust,78,63.6,107.4,0.27,14.2,5,45,24.7,3.7,2025-07-21T18:00:00.000Z,moderate,Quarry Site C - Quarry site with crushing operations
dust_015,28.647421,77.316557,Unpaved Area D,dust,70,61,107.1,0.24,9.3,4.4,42,22.2,2.8,2025-07-21T18:00:00.000Z,moderate,Unpaved Area D - Open area with construction debris
dust_016,28.639001,77.336353,Demolished Building Site E,dust,89,69.5,128.9,0.82,18.4,7.7,32,23.8,4.1,2025-07-21T18:00:00.000Z,moderate,Demolished Building Site E - Large unpaved area with loose soil
construction_001,28.639331,77.321066,Metro Construction A,construction,54,50.9,111.4,0.43,30.2,6.6,45,20.4,4.1,2025-07-21T19:00:00.000Z,moderate,Metro Construction A - Metro construction with heavy machinery
construction_002,28.637321,77.31774,Building Project B,construction,116,89.8,163.5,1.09,39.2,9.8,34,21.6,5,2025-07-21T19:00:00.000Z,moderate,Building Project B - Building project with dust and emissions
construction_003,28.646975,77.296802,Highway Expansion C,construction,72,74,100.2,0.82,40.7,7.4,47,21.7,5,2025-07-21T19:00:00.000Z,moderate,Highway Expansion C - Highway expansion with earthmoving equipment
construction_004,28.649373,77.318493,Active Construction D,construction,106,79.4,177.9,0.8,41.7,5.7,43,23.6,5.7,2025-07-21T19:00:00.000Z,moderate,Active Construction D - Active construction site with concrete mixing
construction_005,28.642822,77.301762,Industrial Building Site E,construction,111,80.5,121,1.78,39.2,11,32,23.3,3.4,2025-07-21T19:00:00.000Z,moderate,Industrial Building Site E - Metro construction with heavy machinery
vehicle_006,28.627293,77.321795,Bus Terminal A,vehicle,103,73.1,108.2,2.37,29.8,10.3,38,20.6,5.5,2025-07-21T19:00:00.000Z,moderate,Bus Terminal A - Major bus terminal with heavy traffic congestion
vehicle_007,28.643984,77.306297,Traffic Junction B,vehicle,72,76.4,106.3,2.55,33.4,16.9,50,24.4,3.6,2025-07-21T19:00:00.000Z,moderate,Traffic Junction B - Traffic junction with high vehicle density
vehicle_008,28.653835,77.327941,Highway Monitor C,vehicle,91,46.5,81.4,2.55,25.7,12.9,50,23.7,5.3,2025-07-21T19:00:00.000Z,moderate,Highway Monitor C - Highway monitoring point with diesel emissions
vehicle_009,28.640311,77.31886,Parking Complex D,vehicle,65,46,79.6,1.42,37.4,16.4,47,23.2,4.8,2025-07-21T19:00:00.000Z,moderate,Parking Complex D - Parking complex with vehicle idling
vehicle_010,28.647926,77.326581,Bus Terminal E,vehicle,121,76.7,52,1.92,28.4,12.9,40,24.7,4.9,2025-07-21T19:00:00.000Z,moderate,Bus Terminal E - Major bus terminal with heavy traffic congestion
vehicle_011,28.632492,77.299992,Traffic Junction F,vehicle,68,50.7,74.4,2.47,33.5,13.3,50,24.5,5,2025-07-21T19:00:00.000Z,moderate,Traffic Junction F - Traffic junction with high vehicle density
dust_012,28.639283,77.298179,Open Ground A,dust,132,87.5,155.7,0.71,17.9,6.5,31,23.9,3.2,2025-07-21T19:00:00.000Z,moderate,Open Ground A - Large unpaved area with loose soil
dust_013,28.631764,77.332845,Vacant Plot B,dust,93,74.7,177.7,0.55,18,2.8,46,25,4.1,2025-07-21T19:00:00.000Z,moderate,Vacant Plot B - Vacant plot with exposed soil and debris
dust_014,28.634682,77.31235,Quarry Site C,dust,89,94.1,128.8,0.75,19.1,6.4,46,23.5,3,2025-07-21T19:00:00.000Z,moderate,Quarry Site C - Quarry site with crushing operations
dust_015,28.647421,77.316557,Unpaved Area D,dust,128,85.4,140.6,0.91,14.4,7,32,20.8,4,2025-07-21T19:00:00.000Z,moderate,Unpaved Area D - Open area with construction debris
dust_016,28.639001,77.336353,Demolished Building Site E,dust,87,107.7,260.3,0.75,20.2,3.6,41,20.4,5.5,2025-07-21T19:00:00.000Z,moderate,Demolished Building Site E - Large unpaved area with loose soil
construction_001,28.639331,77.321066,Metro Construction A,construction,93,47.1,192.6,1.07,43.1,10.6,33,25.2,5.1,2025-07-21T20:00:00.000Z,moderate,Metro Construction A - Metro construction with heavy machinery
construction_002,28.637321,77.31774,Building Project B,construction,105,82.1,97.2,1.73,37.3,6.4,41,23.4,5.2,2025-07-21T20:00:00.000Z,moderate,Building Project B - Building project with dust and emissions
construction_003,28.646975,77.296802,Highway Expansion C,construction,125,78.1,152.4,1.45,40.8,10.9,47,21.9,5.5,2025-07-21T20:00:00.000Z,moderate,Highway Expansion C - Highway expansion with earthmoving equipment
construction_004,28.649373,77.318493,Active Construction D,construction,92,109.9,173.2,1.63,24,6.4,33,23.8,4.2,2025-07-21T20:00:00.000Z,moderate,Active Construction D - Active construction site with concrete mixing
construction_005,28.642822,77.301762,Industrial Building Site E,construction,107,98.3,152.1,1.02,44.3,12.5,47,23.3,4.8,2025-07-21T20:00:00.000Z,moderate,Industrial Building Site E - Metro construction with heavy machinery
vehicle_006,28.627293,77.321795,Bus Terminal A,vehicle,55,40.9,43.9,1.43,16.1,8.8,41,24.5,5,2025-07-21T20:00:00.000Z,moderate,Bus Terminal A - Major bus terminal with heavy traffic congestion
vehicle_007,28.643984,77.306297,Traffic Junction B,vehicle,76,62.8,73.8,2.29,39.2,14.1,44,22,4.8,2025-07-21T20:00:00.000Z,moderate,Traffic Junction B - Traffic junction with high vehicle density
vehicle_008,28.653835,77.327941,Highway Monitor C,vehicle,67,61.5,88.6,1.47,44.6,16.4,46,22.5,5,2025-07-21T20:00:00.000Z,moderate,Highway Monitor C - Highway monitoring point with diesel emissions
vehicle_009,28.640311,77.31886,Parking Complex D,vehicle,89,59,83.1,2.66,26.5,14.9,42,22.1,5.1,2025-07-21T20:00:00.000Z,moderate,Parking Complex D - Parking complex with vehicle idling
vehicle_010,28.647926,77.326581,Bus Terminal E,vehicle,78,35.1,100.3,1.25,41.6,15.6,50,22.7,3.4,2025-07-21T20:00:00.000Z,moderate,Bus Terminal E - Major bus terminal with heavy traffic congestion
vehicle_011,28.632492,77.299992,Traffic Junction F,vehicle,118,62.8,76.5,1.9,40,12.8,32,24,4.6,2025-07-21T20:00:00.000Z,moderate,Traffic Junction F - Traffic junction with high vehicle density
dust_012,28.639283,77.298179,Open Ground A,dust,108,99.1,212.8,0.66,12.7,7.9,35,25.2,5,2025-07-21T20:00:00.000Z,moderate,Open Ground A - Large unpaved area with loose soil
dust_013,28.631764,77.332845,Vacant Plot B,dust,90,54.2,123.1,0.3,18.1,3,45,23.4,5.5,2025-07-21T20:00:00.000Z,moderate,Vacant Plot B - Vacant plot with exposed soil and debris
dust_014,28.634682,77.31235,Quarry Site C,dust,98,77.1,124.5,0.66,13.5,7.1,49,23.1,5.3,2025-07-21T20:00:00.000Z,moderate,Quarry Site C - Quarry site with crushing operations
